regions,PACS100,IRAC1,IRAC3,SFR,SPIRE500,SPIRE250,SPIRE350,PAH6.2,PAH7.7,PAH8.3,PAH8..6,PAH11.3,PAH12,PAH12.7,PAH17
Hodge602,8.70968644843674E-20,7.85038377854728E-21,5.96649917434246E-21,7.40592951499998E-12,1.004198897031E-21,1.78257117648509E-20,4.8668035220616E-21,2.89917323175697E-22,1.12889763092972E-21,5.30962007064752E-23,4.83597782570908E-22,3.64433013939898E-22,4.91743222452015E-23,1.28215257387795E-22,1.4993643040408E-22
NGC5447,1.21759399075936E-19,4.44601023056885E-21,7.29238787975188E-21,3.08975532848732E-11,1.09971440355497E-21,1.71674177145816E-20,4.92756335687916E-21,3.92187846127374E-23,2.53715368148555E-22,4.07271994055349E-23,6.39567872146178E-23,8.83931068579388E-23,1.6290879762214E-23,5.73197621263084E-23,8.05493499353913E-23
NGC5455,1.18450091819634E-19,4.87790836725267E-21,8.46043269166021E-21,3.33034231987001E-11,4.97465160642352E-22,9.9852503991963E-21,2.60403183283334E-21,4.35026826242825E-22,1.16902146441813E-21,8.56779602309032E-23,3.24912546368601E-22,3.27929375954196E-22,7.05938123029272E-23,1.78897994425794E-22,3.01682958559518E-83
NGC5461,7.59734223168288E-20,1.78094466950215E-20,4.4827665754319E-20,1.87582880867075E-10,1.69039942799466E-21,3.98085949865316E-20,9.2559115556035E-21,1.99744286862257E-21,6.19867974952242E-21,3.84344089204826E-22,1.21578232299486E-21,1.52530903847692E-21,4.4437899795817E-22,9.19831340647971E-22,9.68402296976053E-23
NGC5462,1.0959643319013E-19,3.48059086621675E-21,6.44003085484583E-21,2.35626310338246E-11,8.13900069929011E-22,1.3317969457369E-20,3.70608999942824E-21,6.09701259248786E-22,1.95611230329992E-21,1.33343867683307E-22,4.03651798552635E-22,4.86614612156503E-22,5.67163962091894E-23,4.08478725889588E-22,2.17211730162853E-23
NGC5471,7.54048504999678E-20,3.9633005483928E-21,3.31472176352358E-21,3.76935206778955E-11,4.04858229926545E-22,7.62188809980804E-21,2.06450857056962E-21,3.01682958559518E-83,2.66084369449495E-22,3.01682958559518E-83,6.48618360902964E-23,8.59796431894627E-23,3.01682958559518E-83,2.53413685189995E-23,1.7497611596452E-23
Nucleus,2.61721947353289E-19,3.81086591191616E-20,3.03060275522157E-20,2.37969739110628E-11,1.20008556846346E-21,3.28423741263453E-20,7.27700277471467E-21,2.32476887865965E-21,8.188580544181E-21,7.04731391195034E-22,1.70812891136399E-21,1.85776365880951E-21,4.8208936777811E-22,1.09420409069537E-21,1.66287646758006E-21
Searle5,6.49492111443587E-20,2.97247541129461E-21,7.60807566675412E-21,9.48153823919065E-12,4.39694791479666E-22,9.44979875097741E-21,2.20112164813528E-21,3.78310430033636E-22,1.25620783944183E-21,3.10733447316304E-23,2.94744250512649E-22,2.83280298087388E-22,5.67163962091894E-23,1.42696039398652E-22,6.00349087533441E-23
