regions,PAH6.2,PAH7.7,PAH8.3,PAH8..6,PAH11.3,PAH12,PAH12.7,PAH17,IRAC3,PACS100,SPIRE250,SPIRE350,SPIRE500,SFR
Hodge602 (Region 1),3.05895800622623E-19,1.19111559409974E-18,5.60225399683472E-20,5.10250747552616E-19,3.84518342510019E-19,5.18845114479579E-20,1.35281701628111E-19,1.58200013433344E-19,6.29533627676203E-18,9.18971132919147E-17,1.88081564504258E-17,5.13503209655335E-18,1.0595442253221E-18,7.81409925260906E-9
NGC5447 (Region 2),4.13802852038928E-20,2.67698614280568E-19,4.29718346348117E-20,6.74816958709636E-20,9.32647966518507E-20,1.71887338539247E-20,6.04788783749202E-20,8.49887396110721E-20,7.69429989382024E-18,1.28470035718049E-16,1.81135812406851E-17,5.19914064347848E-18,1.16032396493884E-18,3.26004382760827E-8
NGC5455 (Region 3),4.59002855877026E-19,1.23345080896219E-18,9.04000076761966E-20,3.42819747419943E-19,3.4600284628178E-19,7.4484513367007E-20,1.88757762506988E-19,3.149449E-19,8.92672022313345E-18,1.24978339597292E-16,1.05355765975683E-17,2.74755021061165E-18,5.24882411060113E-19,3.51389050893885E-8
NGC5461 (Region 4),2.10752975642288E-18,6.54031323141835E-18,4.05526794998149E-19,1.28278884132068E-18,1.60937478454525E-18,4.68870462348724E-19,9.70526842974378E-19,1.02177473464997E-19,4.72982937195877E-17,8.01606147265751E-17,4.20026023339319E-17,9.76604103811229E-18,1.78356395104091E-18,1.97921307003645E-7
NGC5462 (Region 5),6.43304279977441E-19,2.0639213020157E-18,1.40692969693235E-19,4.25898627713912E-19,5.13433846414454E-19,5.98422586025526E-20,4.30991585892853E-19,2.29183118052329E-20,6.7949661399971E-18,1.15636721217109E-16,1.40519748361523E-17,3.91034711253719E-18,8.58757285665412E-19,2.48612597754264E-8
NGC5471 (Region 6),9.155957E-19,2.80749319614103E-19,2.15996E-19,6.8436625529515E-20,9.07183175623803E-20,1.772531E-19,2.67380304394384E-20,1.84619733986599E-20,3.49740904264556E-18,7.95607066933985E-17,8.04196015956547E-18,2.17829171147507E-18,4.27171550238775E-19,3.97709580088203E-8
Nucleus (Region 7),2.45289598293229E-18,8.63988524068663E-18,7.43571894125335E-19,1.80227057557262E-18,1.96015227911978E-18,5.08659198121698E-19,1.15450995718861E-18,1.75452409264505E-18,3.19763112470452E-17,2.76146467376246E-16,3.46524457996522E-17,7.67806685547858E-18,1.26622697726245E-18,2.51085182050634E-8
Searle5 (Region 8),3.99160597274474E-19,1.3254423660693E-18,3.27859182769304E-20,3.10988758801563E-19,2.98892983126579E-19,5.98422586025526E-20,1.50560576164933E-19,6.33436673505743E-20,8.02738646931029E-18,6.85288161645004E-17,9.97061411504924E-18,2.32243406999203E-18,4.63928090932873E-19,1.00041028905801E-8
