regions,PAH6.2,PAH7.7,PAH8.3,PAH8.6,PAH11.3,PAH12,PAH12.7,PAH17,IRAC3,PACS100,SPIRE250,SPIRE350,SPIRE500,SFR,IRAC1
Hodge602 (Region 1),3.05895800622623e-19,1.19111559409974e-18,5.60225399683472e-20,5.10250747552616e-19,3.84518342510019e-19,5.18845114479579e-20,1.35281701628111e-19,1.58200013433344e-19,6.29533627676203e-18,9.18971132919147e-17,1.88081564504258e-17,5.13503209655335e-18,1.0595442253221e-18,7.81409925260906e-09,8.28304912872787e-18
NGC5447 (Region 2),4.13802852038928e-20,2.67698614280568e-19,4.29718346348117e-20,6.74816958709636e-20,9.32647966518507e-20,1.71887338539247e-20,6.04788783749202e-20,8.49887396110721e-20,7.69429989382024e-18,1.28470035718049e-16,1.81135812406851e-17,5.19914064347848e-18,1.16032396493884e-18,3.26004382760827e-08,4.69104724118893e-18
NGC5455 (Region 3),4.59002855877026e-19,1.23345080896219e-18,9.04000076761966e-20,3.42819747419943e-19,3.4600284628178e-19,7.4484513367007e-20,1.88757762506988e-19,3.149449E-19,8.92672022313345e-18,1.24978339597292e-16,1.05355765975683e-17,2.74755021061165e-18,5.24882411060113e-19,3.51389050893885e-08,5.14674897319012e-18
NGC5461 (Region 4),2.10752975642288e-18,6.54031323141835e-18,4.05526794998149e-19,1.28278884132068e-18,1.60937478454525e-18,4.68870462348724e-19,9.70526842974378e-19,1.02177473464997e-19,4.72982937195877e-17,8.01606147265751e-17,4.20026023339319e-17,9.76604103811229e-18,1.78356395104091e-18,1.97921307003645e-07,1.87909949489911e-17
NGC5462 (Region 5),6.43304279977441e-19,2.0639213020157e-18,1.40692969693235e-19,4.25898627713912e-19,5.13433846414454e-19,5.98422586025526e-20,4.30991585892853e-19,2.29183118052329e-20,6.7949661399971e-18,1.15636721217109e-16,1.40519748361523e-17,3.91034711253719e-18,8.58757285665412e-19,2.48612597754264e-08,3.67241984024503e-18
NGC5471 (Region 6),9.155957E-19,2.80749319614103e-19,2.15996E-19,6.8436625529515e-20,9.07183175623803e-20,1.772531E-19,2.67380304394384e-20,1.84619733986599e-20,3.49740904264556e-18,7.95607066933985e-17,8.04196015956547e-18,2.17829171147507e-18,4.27171550238775e-19,3.97709580088203e-08,4.18173354071698e-18
Nucleus (Region 7),2.45289598293229e-18,8.63988524068663e-18,7.43571894125335e-19,1.80227057557262e-18,1.96015227911978e-18,5.08659198121698e-19,1.15450995718861e-18,1.75452409264505e-18,3.19763112470452e-17,2.76146467376246e-16,3.46524457996522e-17,7.67806685547858e-18,1.26622697726245e-18,2.51085182050634e-08,4.02089763530479e-17
Searle5 (Region 8),3.99160597274474e-19,1.3254423660693e-18,3.27859182769304e-20,3.10988758801563e-19,2.98892983126579e-19,5.98422586025526e-20,1.50560576164933e-19,6.33436673505743e-20,8.02738646931029e-18,6.85288161645004e-17,9.97061411504924e-18,2.32243406999203e-18,4.63928090932873e-19,1.00041028905801e-08,3.13630015553774e-18
