regions,M101_NUV_Wm-2.fits
Nucleus,3.128065025532145e-14
Hodge602,9.140508220849664e-15
Searle5,1.693223280883939e-14
NGC5461,5.805535491783803e-14
NGC5462,5.3670555680073794e-14
NGC5455,6.3157295254677e-14
NGC5447,5.965102978299646e-14
NGC5471,1.164870421838006e-13
