regions,sfr_m101.fits
Nucleus,7.888073633555272e-06
Hodge602,2.4548716806418144e-06
Searle5,3.1428816146802856e-06
NGC5461,6.217881240715414e-05
NGC5462,7.810395106946694e-06
NGC5455,1.1039212608401157e-05
NGC5447,1.0241729739194853e-05
NGC5471,1.2494414950673752e-05
