regions,M101_PACS160_Wm-2.fits
Nucleus,4.739037601173864e-14
Hodge602,2.041934749056527e-14
Searle5,1.2734982071314729e-14
NGC5461,6.47508694736471e-14
NGC5462,1.72213055115779e-14
NGC5455,1.6110594506495743e-14
NGC5447,2.0528447775611738e-14
NGC5471,9.907927128725511e-15
