regions,M101_FUV_Wm-2.fits
Nucleus,9.17824539242015e-15
Hodge602,2.6854568016815476e-15
Searle5,7.22572245367672e-15
NGC5461,2.5183199833224954e-14
NGC5462,2.7630160584308936e-14
NGC5455,2.7870316659134287e-14
NGC5447,3.095695510306641e-14
NGC5471,5.907827614405622e-14
