regions,M101_SPIRE250_Wm-2.fits
Nucleus,1.0886386915310588e-14
Hodge602,5.908756613222525e-15
Searle5,3.132360805561739e-15
NGC5461,1.3195506692393432e-14
NGC5462,4.4145580913684836e-15
NGC5455,3.3098490040253128e-15
NGC5447,5.690549375593806e-15
NGC5471,2.5264562957752684e-15
