"Hodge602",2.68545680168155e-15,2.88703296003988e-14,2.60219662921348e-15,1.28960532150776e-15,1.97773821989529e-15,3.54378002528445e-15,1.73884e-14,2.04193474905653e-14,2.45487168064181e-06,3.32865635442541e-16,5.90875661322253e-15,1.61321791104798e-15,9.14050822084966e-15,1.45995943595429e-14,2.53e-17,9.61e-17,3.742e-16,1.76e-17,1.603e-16,1.37e-17,1.208e-16,1.63e-17,4.25e-17,1e-77,4.97e-17
"NGC5447",3.09569551030664e-14,4.03600520418241e-14,1.47373595505618e-15,9.77175166297118e-16,2.41723560209424e-15,4.66187104930468e-15,7.9447e-14,2.05284477756117e-14,1.02417297391949e-05,3.64526524403603e-16,5.69054937559381e-15,1.63335820505321e-15,5.96510297829965e-14,2.89138262619677e-14,5e-18,1.3e-17,8.41e-17,1.35e-17,2.12e-17,1e-77,2.93e-17,5.4e-18,1.9e-17,1e-77,2.67e-17
"NGC5455",2.78703166591343e-14,3.92631033536702e-14,1.61689887640449e-15,1.16330376940133e-15,2.80441186736475e-15,4.96508217446271e-15,1.00433e-13,1.61105945064957e-14,1.10392126084012e-05,1.64896672658495e-16,3.30984900402531e-15,8.63168355702664e-16,6.3157295254677e-14,2.46197002520814e-14,7.8e-18,1.442e-16,3.875e-16,2.84e-17,1.077e-16,3.9e-18,1.087e-16,2.34e-17,5.93e-17,6.3e-18,1e-77
"NGC5461",2.5183199833225e-14,2.5183199833225e-14,5.90336516853933e-15,4.62662527716186e-15,1.48591972076789e-14,3.10791403286978e-14,6.917885e-13,6.47508694736471e-14,6.21788124071541e-05,5.6032314057977e-16,1.31955066923934e-14,3.068092277999e-15,5.8055354917838e-14,7.52174528837961e-14,6.64e-17,6.621e-16,2.0547e-15,1.274e-16,4.03e-16,2.48e-17,5.056e-16,1.473e-16,3.049e-16,1e-77,3.21e-17
"NGC5462",2.76301605843089e-14,3.63283473860882e-14,1.15372471910112e-15,7.71104212860311e-16,2.13470157068063e-15,3.94174462705436e-15,5.583775e-14,1.72213055115779e-14,7.81039510694669e-06,2.69786557986317e-16,4.41455809136848e-15,1.22847177617329e-15,5.36705556800738e-14,2.10767512525828e-14,1.46e-17,2.021e-16,6.484e-16,4.42e-17,1.338e-16,1.34e-17,1.613e-16,1.88e-17,1.354e-16,2.95e-17,7.2e-18
"NGC5471",5.90782761440562e-14,2.49947331662393e-14,1.31373033707865e-15,1.19654101995565e-15,1.09874345549738e-15,1.76620480404551e-15,9.1439e-14,9.90792712872551e-15,1.24944149506738e-05,1.3419990040527e-16,2.52645629577527e-15,6.84330523814562e-16,1.16487042183801e-13,1.96391626777433e-14,2.4e-18,1e-77,8.82e-17,1e-77,2.15e-17,1.27e-17,2.85e-17,1e-77,8.4e-18,7.4e-18,5.8e-18
"Nucleus",9.17824539242015e-15,8.67539713223988e-14,1.26320224719101e-14,6.4480266075388e-15,1.00456544502618e-14,1.85337800252844e-14,7.21019e-14,4.73903760117386e-14,7.88807363355527e-06,3.97796936954493e-16,1.08863869153106e-14,2.41213584269428e-15,3.12806502553214e-14,3.4625283284755e-14,7.86e-17,7.706e-16,2.7143e-15,2.336e-16,5.662e-16,1.64e-17,6.158e-16,1.598e-16,3.627e-16,1.04e-17,5.512e-16
"Searle5",7.22572245367672e-15,2.152896254216e-14,9.85297752808989e-16,6.64745011086475e-16,2.52187783595113e-15,5.00298356510746e-15,2.71319e-14,1.27349820713147e-14,3.14288161468029e-06,1.45747308226865e-16,3.13236080556174e-15,7.29614181273362e-16,1.69322328088394e-14,9.29271650497913e-15,1e-77,1.254e-16,4.164e-16,1.03e-17,9.77e-17,2e-19,9.39e-17,1.88e-17,4.73e-17,5.9e-18,1.99e-17
