regions,M101_SPIRE500_Wm-2.fits
Nucleus,3.97796936954493e-16
Hodge602,3.3286563544254137e-16
Searle5,1.457473082268654e-16
NGC5461,5.6032314057977e-16
NGC5462,2.6978655798631665e-16
NGC5455,1.6489667265849486e-16
NGC5447,3.6452652440360347e-16
NGC5471,1.341999004052705e-16
