regions,M101_SPIRE350_Wm-2.fits
Nucleus,2.4121358426942784e-15
Hodge602,1.613217911047975e-15
Searle5,7.296141812733621e-16
NGC5461,3.0680922779990043e-15
NGC5462,1.2284717761732895e-15
NGC5455,8.631683557026637e-16
NGC5447,1.6333582050532068e-15
NGC5471,6.843305238145619e-16
