regions,PACS100,IRAC1,IRAC3,SFR,SPIRE500,SPIRE250,SPIRE350
Hodge602,8.70968644843674E-20,7.85038377854728E-21,5.96649917434246E-21,7.40592951499998E-12,1.004198897031E-21,1.78257117648509E-20,4.8668035220616E-21
NGC5447,1.21759399075936E-19,4.44601023056885E-21,7.29238787975188E-21,3.08975532848732E-11,1.09971440355497E-21,1.71674177145816E-20,4.92756335687916E-21
NGC5455,1.18450091819634E-19,4.87790836725267E-21,8.46043269166021E-21,3.33034231987001E-11,4.97465160642352E-22,9.9852503991963E-21,2.60403183283334E-21
NGC5461,7.59734223168288E-20,1.78094466950215E-20,4.4827665754319E-20,1.87582880867075E-10,1.69039942799466E-21,3.98085949865316E-20,9.2559115556035E-21
NGC5462,1.0959643319013E-19,3.48059086621675E-21,6.44003085484583E-21,2.35626310338246E-11,8.13900069929011E-22,1.3317969457369E-20,3.70608999942824E-21
NGC5471,7.54048504999678E-20,3.9633005483928E-21,3.31472176352358E-21,3.76935206778955E-11,4.04858229926545E-22,7.62188809980804E-21,2.06450857056962E-21
Nucleus,2.61721947353289E-19,3.81086591191616E-20,3.03060275522157E-20,2.37969739110628E-11,1.20008556846346E-21,3.28423741263453E-20,7.27700277471467E-21
Searle5,6.49492111443587E-20,2.97247541129461E-21,7.60807566675412E-21,9.48153823919065E-12,4.39694791479666E-22,9.44979875097741E-21,2.20112164813528E-21
