regions,FUV,PACS100,IRAC1,IRAC2,IRAC3,IRAC4,MIPS24,PACS160,SFR,SPIRE500,SPIRE250,SPIRE350,NUV,MIPS70,PAH5.7,PAH6.2,PAH7.7,PAH8.3,PAH8..6,PAH10.7,PAH11.3,PAH12,PAH12.7,PAH17
Hodge602,8.10156553015071e-21,8.70968644843674e-20,7.85038377854728e-21,3.8905194876656e-21,5.96649917434246e-21,1.06909804251194e-20,5.24578395661632e-20,6.16016916280861e-20,7.40592951499998e-12,1.004198897031E-21,1.78257117648509e-20,4.8668035220616e-21,2.75753556280352e-20,4.40444882015575e-20,7.63257885155581e-23,2.89917323175697e-22,1.12889763092972e-21,5.30962007064752e-23,4.83597782570908e-22,4.1330565322654e-23,3.64433013939898e-22,4.91743222452015e-23,1.28215257387795e-22,1.4993643040408e-22
NGC5447,9.33918580348724e-20,1.21759399075936e-19,4.44601023056885e-21,2.94797095199404e-21,7.29238787975188e-21,1.4064070505772e-20,2.3967806008678e-19,6.1930828595811e-20,3.08975532848732e-11,1.09971440355497e-21,1.71674177145816e-20,4.92756335687916e-21,1.79956991460563e-19,8.72280864998631e-20,1.50841479279759e-23,3.92187846127374e-23,2.53715368148555e-22,4.07271994055349e-23,6.39567872146178e-23,3.01682958559518e-83,8.83931068579388e-23,1.6290879762214e-23,5.73197621263084e-23,8.05493499353913e-23
NGC5455,8.40799958571826e-20,1.18450091819634e-19,4.87790836725267e-21,3.50948922856433e-21,8.46043269166021e-21,1.49788067988304e-20,3.02989245770081e-19,4.86029181487234e-20,3.33034231987001e-11,4.97465160642352e-22,9.9852503991963e-21,2.60403183283334e-21,1.9053479687048e-19,7.42734401089643e-20,2.35312707676424e-23,4.35026826242825e-22,1.16902146441813e-21,8.56779602309032e-23,3.24912546368601e-22,1.17656353838212e-23,3.27929375954196e-22,7.05938123029272e-23,1.78897994425794e-22,3.01682958559518e-83
NGC5461,7.59734223168288e-20,7.59734223168288e-20,1.78094466950215e-20,1.39577400176044e-20,4.4827665754319e-20,9.37604700384799e-20,2.08700801377451e-18,1.9534233872111e-19,1.87582880867075e-10,1.69039942799466e-21,3.98085949865316e-20,9.2559115556035e-21,1.75143112318362e-19,2.26918237212948e-19,2.0031748448352e-22,1.99744286862257e-21,6.19867974952242e-21,3.84344089204826e-22,1.21578232299486e-21,7.48173737227605e-23,1.52530903847692e-21,4.4437899795817e-22,9.19831340647971e-22,9.68402296976053e-23
NGC5462,8.33554859054889e-20,1.0959643319013e-19,3.48059086621675e-21,2.32629000293407e-21,6.44003085484583e-21,1.18915718097584e-20,1.68452976193067e-19,5.19537439699016e-20,2.35626310338246e-11,8.13900069929011e-22,1.3317969457369e-20,3.70608999942824e-21,1.6191492025098e-19,6.35849667470221e-20,4.40457119496896e-23,6.09701259248786e-22,1.95611230329992e-21,1.33343867683307e-22,4.03651798552635e-22,4.04255164469754e-23,4.86614612156503e-22,5.67163962091894e-23,4.08478725889588e-22,2.17211730162853e-23
NGC5471,1.78229091337351e-19,7.54048504999678e-20,3.9633005483928e-21,3.60976034938044e-21,3.31472176352358e-21,5.32833890706483e-21,2.75855880477238e-19,2.98905276938602e-20,3.76935206778955e-11,4.04858229926545e-22,7.62188809980804e-21,2.06450857056962e-21,3.51421555198565e-19,5.92480070025327e-20,7.24039100542843e-24,3.01682958559518e-83,2.66084369449495e-22,3.01682958559518e-83,6.48618360902964e-23,3.83137357370588e-23,8.59796431894627e-23,3.01682958559518e-83,2.53413685189995e-23,1.7497611596452e-23
Nucleus,2.76892022437058e-20,2.61721947353289e-19,3.81086591191616e-20,1.9452597438328e-20,3.03060275522157e-20,5.5913255913191e-20,2.17519145097625e-19,1.42968688424693e-19,2.37969739110628e-11,1.20008556846346e-21,3.28423741263453e-20,7.27700277471467e-21,9.4368391146909e-20,1.04458579023063e-19,2.37122805427781e-22,2.32476887865965e-21,8.188580544181E-21,7.04731391195034e-22,1.70812891136399e-21,4.9476005203761e-23,1.85776365880951e-21,4.8208936777811e-22,1.09420409069537e-21,1.66287646758006e-21
Searle5,2.17987732755513e-20,6.49492111443587e-20,2.97247541129461e-21,2.00542241632247e-21,7.60807566675412e-21,1.50931488354626e-20,8.18523186334099e-20,3.84192706847664e-20,9.48153823919065e-12,4.39694791479666e-22,9.44979875097741e-21,2.20112164813528e-21,5.10816608878921e-20,2.80345420827697e-20,3.01682958559518e-83,3.78310430033636e-22,1.25620783944183e-21,3.10733447316304e-23,2.94744250512649e-22,6.03365917119036e-25,2.83280298087388e-22,5.67163962091894e-23,1.42696039398652e-22,6.00349087533441e-23
