2.2894655E-20,5.002906E-20,1.5983862E-19,5.84E-16,1.83E-9,1.61E35,140.6353733,4.97E-6,209.2329646
2.4697881E-20,5.42969E-20,1.7874733E-19,5.09E-16,2.33E-9,1.87E35,214.5311023,2.17E-5,62.03640949
1.9884433E-20,2.8787908E-20,1.6535029E-19,4.46E-16,2.02E-9,1.32E35,155.3895764,9.65E-6,45.12815529
1.3143228E-20,2.9678255E-20,8.818682E-20,4.35E-16,1.39E-9,1.33E35,293.9078146,5.03E-6,163.0561842
9.95545E-21,2.0136135E-20,3.5587355E-20,3.31E-16,1.18E-9,1.09E35,536.8725115,2.53E-5,13.15485661
7.6400065E-21,1.8259135E-20,3.7767577E-20,2.94E-16,1.71E-9,1.6E35,725.5718527,3.12E-6,194.4644834
1.7874732E-20,3.6950723E-20,9.610071E-20,4.7E-16,1.11E-9,1.05E35,777.1365793,1.04E-5,20.29426362
0.0,6.6564092E-21,9.285055E-21,1.46E-16,3.48E-9,3.07E35,152.5341656,5.65E-6,152.1657394
3.5317126E-20,5.5964714E-20,1.8527712E-19,6.07E-16,1.36E-9,1.33E35,239.1043713,6.37E-6,68.62345611
4.9011362E-20,8.889316E-20,3.7094873E-19,1.39E-15,2.39E-9,4.2E35,1090.309864,3.51E-6,313.6917255
