regions,M101_MIPS70_Wm-2.fits
Nucleus,3.462528328475498e-14
Hodge602,1.45995943595429e-14
Searle5,9.292716504979127e-15
NGC5461,7.521745288379612e-14
NGC5462,2.107675125258283e-14
NGC5455,2.4619700252081434e-14
NGC5447,2.891382626196766e-14
NGC5471,1.9639162677743335e-14
