"","regions","IRAC1","IRAC2","IRAC3","IRAC4","MIPS24"
"1","Nucleus    ",1.26320224719101e-14,6.4480266075388e-15,1.00456544502618e-14,1.85337800252844e-14,7.21019e-14
"2","Hodge602 ",2.60219662921348e-15,1.28960532150776e-15,1.97773821989529e-15,3.54378002528445e-15,1.73884e-14
"3","Searle5     ",9.85297752808989e-16,6.64745011086475e-16,2.52187783595113e-15,5.00298356510746e-15,2.71319e-14
"4","NGC5461  ",5.90336516853933e-15,4.62662527716186e-15,1.48591972076789e-14,3.10791403286978e-14,6.917885e-13
"5","NGC5462  ",1.15372471910112e-15,7.71104212860311e-16,2.13470157068063e-15,3.94174462705436e-15,5.583775e-14
"6","NGC5455  ",1.61689887640449e-15,1.16330376940133e-15,2.80441186736475e-15,4.96508217446271e-15,1.00433e-13
"7","NGC5447  ",1.47373595505618e-15,9.77175166297118e-16,2.41723560209424e-15,4.66187104930468e-15,7.9447e-14
"8","NGC5471  ",1.31373033707865e-15,1.19654101995565e-15,1.09874345549738e-15,1.76620480404551e-15,9.1439e-14
