regions,M101_PACS100_Wm-2.fits
Nucleus,8.675397132239876e-14
Hodge602,2.8870329600398846e-14
Searle5,2.152896254215997e-14
NGC5461,1.603257275807311e-13
NGC5462,3.6328347386088226e-14
NGC5455,3.926310335367022e-14
NGC5447,4.0360052041824106e-14
NGC5471,2.499473316623927e-14
